coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
4.991_1.198,001957.81+011153.4,724.0,4.990912,1.198171,4.990912,1.198171,0.0,1.1299,1.1299,-26.085,-26.085,8.998,1.56396,2.7449,-1.03266,17.8831,60.0,0.071,73,2.60847,4.44758,-1.16969,-0.972072,0.0,179.158,134.381,178.505
40.007_0.474,024001.63+002826.4,6138.0,40.006807,0.474009,40.006805,0.474009,0.005323605600495953,1.1905,1.1905,-25.598,-25.598,8.823,1.00832,4.4404,-1.19929,18.7325,70.0,0.708,5746,3.3553,4.69879,-1.27266,-1.12418,0.0,224.151,129.688,224.144
40.015_-1.131,024003.59-010752.3,6139.0,40.014971,-1.131207,40.014973,-1.131207,0.00434670577101264,0.5896,0.5896,-22.668,-22.668,8.227,1.16816,1.59293,-0.272486,19.7435,56.0,0.205,6003,1.27836,1.91723,-0.419869,-0.186216,0.0,106.426,95.0178,100.207
40.017_0.427,024003.99+002538.6,6140.0,40.016632,0.427403,40.016632,0.427403,0.0,1.1027,1.1027,-24.01,-24.01,0.0,1.34326,1.73763,-0.394739,19.8221,70.0,0.291,6191,1.51731,2.14489,-0.559374,-0.337287,0.0,142.57,108.936,137.278
40.025_-0.344,024006.11-002037.6,6141.0,40.025485,-0.343791,40.025486,-0.343791,0.00434670577101264,1.7047,1.7047,-27.192,-27.192,9.354,1.34706,3.13575,-1.25472,17.9316,69.0,-0.055,6059,2.88635,4.5813,-1.38807,-1.15976,0.0,224.535,185.385,224.361
40.035_0.550,024008.41+003259.7,6144.0,40.035064,0.549932,40.035065,0.549932,0.0,1.8584,1.8584,-25.903,-25.903,0.0,1.08856,2.44429,-1.02628,19.2708,68.0,0.155,5943,2.26938,4.13182,-1.18936,-0.964736,0.0,193.457,162.719,191.948
40.037_-0.580,024008.93-003448.8,6145.0,40.037236,-0.580228,40.037235,-0.580228,0.0,1.5157,1.5157,-25.329,-25.329,0.0,1.25712,2.83234,-1.29131,19.4098,66.0,0.181,5736,2.65806,4.4548,-1.42829,-1.20495,0.0,196.613,158.395,195.97
40.039_-1.112,024009.24-010642.3,6146.0,40.03854,-1.11177,40.03854,-1.11177,0.0,1.8117,1.8117,-25.801,-25.801,9.559,0.994088,0.599236,0.034893,19.3149,62.0,0.226,5824,0.164578,0.739309,-0.068586,0.192837,0.0,123.779,120.455,101.17
40.067_1.126,024015.96+010732.2,6148.0,40.066503,1.125616,40.066502,1.125616,0.0,1.4363,1.4363,-25.297,-25.297,8.921,0.991911,2.80694,-0.861805,19.511,69.0,0.024,6078,2.68969,4.47555,-0.987409,-0.808628,0.0,180.911,118.909,180.282
40.070_-0.731,024016.78-004351.9,6150.0,40.069949,-0.731094,40.06995,-0.731094,0.0,3.331,3.331,-28.085,-28.085,0.0,1.32175,4.34119,-1.3856,18.4775,70.0,0.127,6005,3.11674,4.65242,-1.47637,-1.26248,0.0,227.793,186.165,227.793
40.089_0.316,024021.26+001856.2,6151.0,40.088592,0.315633,40.088593,0.315633,0.003073585126505738,2.055,2.055,-25.859,-25.859,0.0,1.03916,2.01368,-1.03511,19.738,67.0,0.501,5939,1.75518,2.65267,-1.2386,-0.945539,0.0,189.915,177.461,186.398
40.107_0.555,024025.68+003316.7,6154.0,40.107033,0.55465,40.107033,0.55465,0.0,1.6968,1.6968,-25.784,-25.784,9.115,1.13928,2.2655,-0.867832,19.302,71.0,-0.018,5957,2.07575,3.88715,-1.03796,-0.813031,0.0,190.75,151.391,188.841
