coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
4.075_0.172,001617.97+001020.8,583.0,4.074893,0.172469,4.074893,0.172469,0.003073585126505738,1.5489,1.5489,-26.053,-26.053,9.132,0.9331,3.28569,-1.02387,18.9068,52.0,-0.098,182,3.06991,4.6068,-1.12163,-0.963507,0.0,154.401,97.287,154.17
4.080_0.417,001619.22+002500.9,584.0,4.080112,0.416936,4.080112,0.416936,0.0,1.8631,1.8631,-25.296,-25.296,0.0,1.47761,1.94774,-0.773153,19.9179,115.0,0.14,441,1.69988,3.63135,-1.10112,-0.700349,0.0,266.453,253.76,264.096
4.111_0.609,001626.54+003632.4,587.0,4.110588,0.609013,4.110588,0.609013,0.0,3.2262,3.2262,-26.398,-26.398,0.0,1.2111,2.4268,-1.11601,20.1278,54.0,0.101,401,1.82469,4.27846,-1.42433,-0.963223,0.0,122.358,119.131,121.776
4.112_-1.231,001626.86-011349.8,588.0,4.111939,-1.230513,4.111939,-1.230513,0.0,1.2163,1.2163,-24.348,-24.348,8.692,1.41825,2.79228,-0.982277,19.8725,51.0,-0.025,391,2.5413,4.44933,-1.16026,-0.868023,0.0,117.592,100.451,117.057
4.119_1.123,001628.57+010722.9,589.0,4.119045,1.123037,4.119045,1.123037,0.0,1.3963,1.3963,-24.956,-24.956,8.903,1.18344,2.94778,-0.669721,19.7511,58.0,-9.0,45,2.73156,4.56282,-0.797899,-0.608285,0.0,129.782,90.9224,129.645
4.124_-0.494,001629.72-002937.2,590.0,4.12386,-0.493693,4.12386,-0.493693,0.0,1.2636,1.2636,-24.283,-24.283,0.0,1.58568,3.4774,-0.730046,20.2967,61.0,-0.007,375,2.90239,4.61306,-0.85668,-0.629425,0.0,118.893,74.6825,118.877
4.128_0.543,001630.74+003235.6,592.0,4.128096,0.543241,4.128096,0.543241,0.0,2.1058,2.1058,-26.98,-26.98,8.562,0.912588,5.0,-1.2,18.827,53.0,0.054,82,3.6702,4.77412,-1.2688,-1.10281,1.0,166.816,117.435,166.841
4.134_1.232,001632.10+011355.7,593.0,4.133753,1.232152,4.133753,1.232152,0.0,1.4927,1.4927,-25.18,-25.18,8.86,1.28726,5.0,-0.925,19.7001,58.0,-0.011,257,3.47028,4.73995,-1.02394,-0.818183,1.0,133.383,80.7247,133.395
4.135_0.239,001632.43+001421.6,594.0,4.135159,0.239336,4.135159,0.239336,0.0,3.3298,3.3298,-26.419,-26.419,8.838,1.09832,0.573629,0.019099,20.0871,53.0,-0.426,77,-0.208336,0.931569,-0.195676,0.360987,0.0,102.586,101.023,93.4736
4.143_-1.106,001634.35-010622.7,595.0,4.143152,-1.10633,4.143152,-1.10633,0.0,3.6447,3.6447,-27.319,-27.319,9.607,1.20428,3.77946,-1.02231,19.6492,51.0,-0.021,321,3.20842,4.66177,-1.13348,-0.920492,0.0,130.544,94.4739,130.508
4.153_-1.092,001636.71-010530.0,596.0,4.152959,-1.091693,4.152959,-1.091693,0.0,1.5878,1.5878,-24.83,-24.83,0.0,1.32186,5.0,-0.95,20.1955,50.0,0.233,278,3.09242,4.65455,-1.03386,-0.809379,1.0,107.857,77.6833,107.857
4.172_1.013,001641.17+010045.2,600.0,4.171557,1.012579,4.171557,1.012579,0.0,3.0384,3.0384,-27.235,-27.235,9.559,1.48725,1.7358,-0.676886,19.1818,52.0,0.209,312,1.53258,2.86681,-1.08888,-0.608139,0.0,124.732,114.568,121.791
4.190_-0.733,001645.49-004357.4,602.0,4.189573,-0.732633,4.189573,-0.732633,0.0,2.2499,2.2499,-26.233,-26.233,8.906,1.47016,2.72584,-0.833966,19.5546,52.0,0.07,415,2.5737,4.39539,-0.976689,-0.760233,0.0,122.706,86.0307,121.835
4.198_0.662,001647.50+003943.1,603.0,4.197948,0.661995,4.197948,0.661995,0.0,1.7046,1.7046,-24.923,-24.923,0.0,0.925685,2.7213,-0.764883,19.9889,61.0,-0.059,383,2.59865,4.42895,-0.891459,-0.711793,0.0,143.975,89.0524,143.204
4.199_1.206,001647.83+011220.2,604.0,4.199293,1.205634,4.199293,1.205634,0.0,1.4906,1.4906,-25.832,-25.832,0.0,1.24174,2.62338,-0.776787,19.0332,58.0,0.409,172,2.46453,4.35494,-0.906698,-0.726019,0.0,149.16,102.213,148.245
4.238_0.926,001656.99+005532.1,605.0,4.2375,0.925596,4.2375,0.925596,0.0,1.7561,1.7561,-26.261,-26.261,8.908,1.20521,3.91871,-0.950845,19.0147,53.0,-0.025,306,3.20666,4.66513,-1.0482,-0.868157,0.0,143.511,73.5799,143.485
4.241_0.937,001657.76+005614.8,606.0,4.240668,0.937446,4.240668,0.937446,0.0,1.8847,1.8847,-26.732,-26.732,9.316,1.36178,5.0,-1.15,18.6036,53.0,0.805,144,3.0926,4.65485,-1.25953,-1.0047,1.0,153.733,111.04,153.732
4.284_-0.646,001708.25-003844.4,609.0,4.284401,-0.645684,4.284401,-0.645684,0.0,2.1011,2.1011,-25.488,-25.488,0.0,0.893035,4.85087,-0.736855,19.9678,52.0,0.064,235,3.30171,4.68708,-0.81872,-0.651423,0.0,118.37,70.9554,118.367
4.291_-0.313,001709.81-001845.5,610.0,4.290887,-0.31265,4.290887,-0.31265,0.0,1.2906,1.2906,-23.927,-23.927,0.0,1.04878,2.50633,-0.702022,20.4473,50.0,0.157,69,2.34573,4.16465,-0.840836,-0.643014,0.0,104.915,60.1556,103.447
4.298_-0.413,001711.56-002445.6,612.0,4.298178,-0.412673,4.298178,-0.412673,0.0,0.7764,0.7764,-24.031,-24.031,8.795,1.21902,2.45673,-0.587266,19.2578,59.0,-0.064,349,2.3002,4.11459,-0.710866,-0.548311,0.0,139.778,95.4479,138.204
4.300_-0.267,001711.90-001600.6,613.0,4.299621,-0.266859,4.299621,-0.266859,0.0,0.6207,0.6207,-22.792,-22.792,0.0,1.22494,1.79998,-0.585919,19.6687,52.0,0.612,204,1.52781,2.36424,-0.791568,-0.507007,0.0,121.36,109.679,117.231
4.300_0.169,001711.96+001009.1,614.0,4.299875,0.169217,4.299875,0.169217,0.0,2.9278,2.9278,-26.535,-26.535,0.0,1.21378,3.09253,-1.20579,19.8415,51.0,0.455,325,2.76527,4.55936,-1.35207,-1.08709,0.0,131.986,114.148,131.83
4.306_-0.413,001713.39-002448.5,616.0,4.30583,-0.413493,4.30583,-0.413493,0.0,3.1895,3.1895,-26.261,-26.261,9.03,1.33202,2.31713,-0.833148,20.1756,61.0,-0.174,104,2.07396,3.9741,-1.01874,-0.750758,0.0,135.852,111.399,134.242
4.316_-1.167,001715.85-010959.5,618.0,4.316056,-1.166542,4.316056,-1.166542,0.0,1.8995,1.8995,-26.19,-26.19,9.51,0.983148,2.74198,-1.01025,19.2127,51.0,-9.0,308,2.62258,4.41478,-1.13435,-0.952047,0.0,143.55,91.5972,142.703
4.316_0.652,001715.91+003908.1,619.0,4.316313,0.652264,4.316313,0.652264,0.0,0.8147,0.8147,-23.42,-23.42,8.827,1.25173,3.11184,-0.69741,19.442,61.0,0.004,296,2.93597,4.57699,-0.798317,-0.645994,0.0,144.237,70.3793,143.972
4.320_-1.124,001716.82-010725.5,620.0,4.32011,-1.123758,4.32011,-1.123758,0.0,1.1631,1.1631,-24.392,-24.392,8.522,0.918683,7.49999,-0.814626,20.0936,49.0,0.612,247,2.92848,4.61985,-0.817027,-0.642263,0.0,123.933,75.5773,110.162
4.337_-0.207,001720.93-001225.4,621.0,4.337229,-0.207058,4.337229,-0.207058,0.0,1.3097,1.3097,-24.961,-24.961,8.476,1.23506,3.23459,-0.851853,19.4066,110.0,-0.089,23,3.03117,4.59902,-0.955385,-0.792672,0.0,305.505,157.877,305.278
4.380_-0.816,001731.27-004859.3,625.0,4.380306,-0.816482,4.380306,-0.816482,0.0,1.3565,1.3565,-25.141,-25.141,9.106,0.93478,3.29438,-0.663777,19.1346,53.0,-0.044,234,3.09637,4.61399,-0.748956,-0.61886,0.0,132.906,37.4831,132.7
4.382_0.819,001731.70+004910.1,626.0,4.382103,0.81949,4.382103,0.81949,0.0,2.4329,2.4329,-25.793,-25.793,9.099,1.31994,2.12206,-0.708788,20.0382,62.0,0.004,32,1.88747,3.8191,-0.96281,-0.634515,0.0,133.433,116.398,131.57
4.395_-0.319,001734.78-001908.3,627.0,4.394923,-0.318985,4.394923,-0.318985,0.0,2.1127,2.1127,-26.462,-26.462,9.661,1.01706,0.737304,0.267049,18.9449,51.0,0.059,320,0.297796,0.848233,0.184321,0.428469,0.0,70.1285,67.0741,50.5122
4.399_-1.224,001735.69-011325.0,628.0,4.398735,-1.223622,4.398735,-1.223622,0.0,0.805,0.805,-24.264,-24.264,8.774,1.03304,2.88748,-0.942436,19.094,51.0,0.036,36,2.77369,4.49361,-1.0481,-0.887164,0.0,141.156,79.2618,140.544
4.412_-0.521,001738.76-003116.9,629.0,4.41154,-0.521366,4.41154,-0.521366,0.0,0.8539,0.8539,-24.661,-24.661,8.808,1.30683,4.58792,-0.816721,18.5705,61.0,-0.093,101,3.36007,4.69875,-0.893208,-0.744831,0.0,163.482,87.1827,163.482
4.418_-0.898,001740.22-005353.0,631.0,4.417614,-0.898068,4.417614,-0.898068,0.0,2.086,2.086,-25.842,-25.842,0.0,1.38678,5.0,-1.125,19.6941,60.0,0.373,364,3.20787,4.68866,-1.20194,-0.996448,1.0,150.656,108.839,150.668
4.435_-0.101,001744.43-000602.5,633.0,4.43513,-0.100706,4.43513,-0.100706,0.0,1.6424,1.6424,-25.223,-25.223,0.0,1.20519,3.32179,-1.35012,19.6887,60.0,1.338,178,2.99786,4.60403,-1.48489,-1.22471,0.0,162.607,133.833,162.464
4.444_0.946,001746.57+005644.0,635.0,4.444053,0.945562,4.444053,0.945562,0.0,1.8271,1.8271,-25.121,-25.121,0.0,1.31942,3.28626,-0.907533,19.8702,51.0,-0.06,303,2.96372,4.60953,-1.04201,-0.809734,0.0,115.42,80.1287,115.324
4.449_-0.304,001747.79-001815.9,636.0,4.449136,-0.304419,4.449136,-0.304419,0.0,2.499,2.499,-25.977,-25.977,9.517,0.915902,2.13912,-0.98347,19.8712,51.0,-0.036,174,1.88483,3.32526,-1.18578,-0.897022,0.0,134.757,113.965,132.283
4.461_0.762,001750.60+004543.0,638.0,4.460848,0.761962,4.460848,0.761962,0.0,1.4039,1.4039,-24.988,-24.988,0.0,1.12447,2.27899,-0.803157,19.6466,61.0,-0.057,183,2.07737,3.82768,-1.007,-0.738562,0.0,150.657,111.961,148.633
4.462_-0.564,001750.88-003349.5,639.0,4.462035,-0.563773,4.462035,-0.563773,0.0,1.0856,1.0856,-25.689,-25.689,8.792,1.12022,2.53139,-1.0364,18.3888,61.0,0.042,78,2.38325,4.30146,-1.16129,-0.995816,0.0,192.956,153.717,191.857
4.476_1.190,001754.16+011123.3,640.0,4.475696,1.189831,4.475696,1.189831,0.0,1.4649,1.4649,-25.954,-25.954,9.036,1.32442,3.60603,-0.978481,18.9671,59.0,0.213,140,3.15757,4.64287,-1.08039,-0.9053,0.0,161.9,93.8438,161.805
4.487_-0.790,001756.90-004723.1,642.0,4.48711,-0.789755,4.48711,-0.789755,0.0,1.8138,1.8138,-25.269,-25.269,0.0,1.2939,2.38967,-0.959776,19.9456,52.0,1.531,274,2.10142,4.22548,-1.2333,-0.853351,0.0,124.419,114.758,123.426
4.496_-1.095,001759.16-010543.5,643.0,4.4965,-1.095431,4.4965,-1.095431,0.0,1.5714,1.5714,-25.601,-25.601,9.278,1.24995,3.25089,-0.666732,19.2365,54.0,-0.018,293,3.06473,4.61347,-0.782259,-0.609,0.0,129.024,63.8664,128.824
4.499_-0.097,001759.83-000548.2,644.0,4.499319,-0.096728,4.499319,-0.096728,0.0,1.8072,1.8072,-25.36,-25.36,0.0,0.849398,5.0,-1.15,19.7466,60.0,0.022,41,3.45485,4.7202,-1.22592,-1.04869,1.0,171.119,96.1936,171.123
4.501_0.767,001800.20+004602.8,645.0,4.500853,0.767457,4.500853,0.767457,0.0,1.9004,1.9004,-26.89,-26.89,9.505,1.10256,5.0,-1.225,18.4805,61.0,-0.015,337,3.4226,4.72887,-1.31533,-1.13006,1.0,195.009,142.451,195.013
4.503_-1.256,001800.60-011522.9,647.0,4.502518,-1.256388,4.502518,-1.256388,0.0,1.5767,1.5767,-24.988,-24.988,0.0,1.52292,2.71391,-0.617702,19.8649,52.0,0.188,414,2.47952,4.50095,-0.794712,-0.521064,0.0,99.3292,79.7055,99.0966
4.518_1.009,001804.32+010031.4,648.0,4.518035,1.008723,4.518035,1.008723,0.0,1.344,1.344,-24.822,-24.822,8.704,1.23584,1.98508,-0.704622,19.5712,50.0,0.155,244,1.75167,3.15714,-0.950411,-0.633164,0.0,118.403,102.941,115.677
4.523_-0.446,001805.51-002647.3,649.0,4.522982,-0.446479,4.522982,-0.446479,0.0,1.4893,1.4893,-24.717,-24.717,0.0,1.26851,3.27841,-0.902018,20.2031,62.0,0.07,348,2.9334,4.58889,-1.02639,-0.811581,0.0,142.962,107.029,142.809
4.525_-1.195,001805.91-011143.0,650.0,4.524635,-1.195299,4.524635,-1.195299,0.0,2.0294,2.0294,-25.639,-25.639,0.0,1.2532,2.41311,-0.801278,19.9182,54.0,-0.025,276,2.18157,4.00684,-0.964609,-0.721839,0.0,122.332,98.9425,120.695
4.529_-0.760,001806.88-004535.1,651.0,4.528672,-0.759751,4.528672,-0.759751,0.0,1.0479,1.0479,-23.986,-23.986,8.345,1.22734,3.01861,-0.579044,20.2088,53.0,0.039,195,2.78731,4.55931,-0.691297,-0.515642,0.0,106.083,69.1056,105.899
4.529_0.379,001807.02+002244.6,652.0,4.529266,0.379059,4.529266,0.379059,0.0,1.2002,1.2002,-24.911,-24.911,8.893,1.20538,3.67313,-0.810996,19.5507,60.0,0.015,31,3.16102,4.65159,-0.899851,-0.752612,0.0,151.05,83.0381,151.018
4.536_-0.953,001808.70-005710.2,655.0,4.536279,-0.952841,4.536279,-0.952841,0.0,1.335,1.335,-24.399,-24.399,9.289,1.01933,3.26416,-0.66452,20.2422,48.0,-0.037,381,3.07201,4.61009,-0.771091,-0.600712,0.0,95.1452,35.7209,94.9336
4.537_1.032,001808.89+010155.4,656.0,4.537063,1.03207,4.537063,1.03207,0.0,1.4224,1.4224,-24.702,-24.702,9.444,1.3012,3.49909,-1.02522,20.0488,49.0,0.37,51,2.98987,4.61638,-1.16673,-0.871152,0.0,104.921,77.9246,104.841
4.562_-0.275,001814.95-001628.6,659.0,4.562317,-0.274639,4.562317,-0.274639,0.0,1.9218,1.9218,-25.193,-25.193,0.0,1.10759,1.59429,-0.544105,20.1268,52.0,0.531,339,1.36246,1.99519,-0.754251,-0.460737,0.0,114.656,96.6009,108.85
4.562_0.228,001814.96+001340.3,660.0,4.56236,0.227867,4.56236,0.227867,0.003073585126505738,1.8838,1.8838,-25.349,-25.349,0.0,1.21321,3.04334,-0.973669,20.112,59.0,-0.051,356,2.78245,4.54683,-1.12644,-0.872384,0.0,140.186,116.03,139.927
4.566_0.276,001815.77+001632.4,661.0,4.565726,0.275677,4.565726,0.275677,0.0,0.5755,0.5755,-22.022,-22.022,0.0,1.14651,2.21936,-0.312895,19.9849,11.0,0.371,168,1.49233,4.21357,-0.578092,-0.069615,0.0,13.8187,11.7614,13.1136
4.569_0.819,001816.53+004907.4,662.0,4.568877,0.818738,4.568877,0.818738,0.0,1.2029,1.2029,-24.086,-24.086,8.268,0.943422,2.61568,-0.805603,20.0674,62.0,0.206,256,2.47088,4.3727,-0.947542,-0.749999,0.0,142.473,98.0201,141.62
4.578_0.453,001818.70+002709.2,663.0,4.577933,0.452568,4.577933,0.452568,0.0,3.3474,3.3474,-27.261,-27.261,0.0,1.03998,3.19936,-1.16808,19.3848,54.0,1.05,307,2.79166,4.57801,-1.29843,-1.07097,0.0,152.009,129.179,151.942
4.601_-1.002,001824.12-010007.9,667.0,4.600524,-1.002214,4.600524,-1.002214,0.0,1.8665,1.8665,-25.253,-25.253,0.0,0.956065,5.0,-1.025,19.8759,60.0,0.087,24,3.46955,4.73627,-1.11845,-0.938948,1.0,154.219,98.2948,154.229
4.604_0.257,001824.95+001525.8,668.0,4.603987,0.257193,4.603987,0.257193,0.0,2.4295,2.4295,-26.501,-26.501,0.0,1.48439,3.44273,-1.05628,19.6361,59.0,0.648,277,3.07404,4.62093,-1.16181,-0.968982,0.0,148.563,102.155,148.444
4.621_0.588,001829.01+003515.7,670.0,4.620898,0.587713,4.620898,0.587713,0.0,1.1599,1.1599,-23.3,-23.3,0.0,0.954329,3.64549,-0.59734,20.5146,54.0,0.056,400,3.08342,4.63871,-0.709243,-0.503792,0.0,83.5929,50.674,83.5505
4.652_-0.493,001836.40-002933.0,671.0,4.651704,-0.492522,4.651704,-0.492522,0.0,1.8525,1.8525,-26.548,-26.548,0.0,1.49075,2.50546,-0.940489,18.7679,62.0,0.13,287,2.25997,4.31688,-1.14345,-0.867144,0.0,174.759,155.462,173.893
4.666_-0.218,001839.83-001303.0,674.0,4.665969,-0.217524,4.665969,-0.217524,0.0,1.5892,1.5892,-25.559,-25.559,9.109,1.09221,5.0,-1.225,19.2742,52.0,0.035,428,3.25187,4.68914,-1.32414,-1.0907,1.0,147.66,123.892,147.659
4.670_-0.939,001840.80-005618.8,675.0,4.670013,-0.938563,4.670013,-0.938563,0.0,1.6655,1.6655,-24.998,-24.998,8.776,1.16177,1.47332,-0.393855,20.0624,60.0,0.398,156,1.23796,2.05019,-0.637737,-0.324011,0.0,123.844,111.705,118.956
4.674_-1.142,001841.81-010832.6,676.0,4.674216,-1.142395,4.674216,-1.142395,0.0,0.782,0.782,-22.752,-22.752,0.0,1.42071,1.68683,-0.213538,20.4012,52.0,0.1,20,1.55373,3.91953,-0.706118,-0.186922,0.0,74.7551,66.593,72.8642
4.678_0.845,001842.68+005042.1,677.0,4.677851,0.845037,4.677851,0.845037,0.0,1.9871,1.9871,-25.999,-25.999,8.978,1.42964,2.58934,-0.768168,19.4589,50.0,0.12,215,2.41291,4.34475,-0.946957,-0.691216,0.0,112.802,81.6156,111.895
4.718_-1.090,001852.35-010524.6,679.0,4.718141,-1.09018,4.718141,-1.09018,0.0,2.8916,2.8916,-26.112,-26.112,0.0,0.936613,5.0,-0.95,20.0133,51.0,0.045,390,3.22175,4.68446,-1.02346,-0.835031,1.0,123.355,78.233,123.365
4.726_-1.034,001854.25-010202.2,680.0,4.726053,-1.033959,4.726053,-1.033959,0.0,1.9323,1.9323,-25.562,-25.562,0.0,1.01816,2.71285,-0.885743,19.9738,62.0,0.074,21,2.50322,4.4398,-1.03678,-0.812571,0.0,147.077,112.349,146.524
4.764_-0.707,001903.27-004223.4,683.0,4.763642,-0.706504,4.763642,-0.706504,0.0,1.0759,1.0759,-23.634,-23.634,0.0,1.47713,5.0,-0.875,19.8693,53.0,0.03,418,3.28419,4.68633,-0.962751,-0.757329,1.0,120.36,78.2679,120.361
4.770_0.577,001904.83+003436.5,684.0,4.770138,0.576823,4.770138,0.576823,0.0,2.1178,2.1178,-26.581,-26.581,9.759,1.05816,0.939157,-0.065594,19.0027,45.0,0.039,422,0.572456,1.12927,-0.17603,0.056611,0.0,85.7593,81.9933,72.1762
4.802_0.055,001912.39+000319.6,686.0,4.801654,0.055446,4.801654,0.055446,0.003073585126505738,1.3718,1.3718,-24.706,-24.706,8.722,0.953153,5.0,-0.8,19.8653,52.0,-0.221,227,3.15202,4.6648,-0.891827,-0.707767,1.0,121.472,73.2063,121.466
4.807_0.423,001913.75+002521.0,688.0,4.807331,0.422502,4.807331,0.422502,0.003073585126505738,1.5711,1.5711,-25.865,-25.865,0.0,1.34414,2.53395,-0.853603,19.0395,114.0,-0.036,360,2.414,4.26674,-0.977656,-0.814226,0.0,321.787,184.163,320.502
4.820_0.786,001916.91+004707.9,690.0,4.820475,0.785551,4.820475,0.785551,0.0,1.3156,1.3156,-24.45,-24.45,0.0,0.985185,3.09942,-0.787725,19.9593,62.0,0.239,50,2.9517,4.56849,-0.890462,-0.73091,0.0,149.469,68.5074,149.124
4.822_0.460,001917.31+002735.4,691.0,4.822145,0.459838,4.822145,0.459838,0.0,2.4183,2.4183,-25.908,-25.908,9.52,1.08243,3.69237,-0.867729,19.6169,52.0,-0.06,268,3.20539,4.6575,-0.978364,-0.78031,0.0,127.33,66.1127,127.28
4.830_1.031,001919.31+010152.2,693.0,4.830471,1.031178,4.830471,1.031178,0.0,2.3092,2.3092,-27.062,-27.062,0.0,1.07327,1.85035,-0.573548,18.6065,54.0,0.065,44,1.6401,2.32401,-0.716384,-0.527564,0.0,137.484,103.346,132.986
4.834_-0.377,001920.12-002237.4,694.0,4.83385,-0.377073,4.83385,-0.377073,0.0,2.1581,2.1581,-25.655,-25.655,0.0,0.935188,2.78099,-0.859141,20.0044,53.0,0.094,411,2.65753,4.48212,-0.985678,-0.793291,0.0,127.511,79.383,126.974
4.838_-0.003,001921.22-000011.3,695.0,4.838458,-0.003155,4.838458,-0.003155,0.0,0.9353,0.9353,-24.054,-24.054,0.0,1.44034,1.83299,-0.324638,19.6004,101.0,-0.281,341,1.67785,2.80166,-0.592862,-0.29384,0.0,203.905,139.707,200.388
4.841_0.125,001921.73+000730.2,696.0,4.840554,0.125058,4.840554,0.125058,0.0,1.0269,1.0269,-23.966,-23.966,0.0,1.02128,3.13492,-0.631752,19.9177,53.0,-0.049,345,2.94491,4.58739,-0.736787,-0.573818,0.0,113.776,70.7718,113.571
4.841_-0.902,001921.92-005407.4,697.0,4.841344,-0.902071,4.841344,-0.902071,0.0,1.6186,1.6186,-25.149,-25.149,0.0,1.32117,3.4284,-0.973293,19.9827,60.0,0.068,355,3.05592,4.62775,-1.1063,-0.862861,0.0,134.58,99.5979,134.502
4.844_-0.154,001922.55-000915.0,698.0,4.843984,-0.154174,4.843984,-0.154174,0.0,1.6971,1.6971,-26.133,-26.133,9.23,1.21985,2.9551,-0.975639,18.8726,58.0,0.122,232,2.80086,4.53891,-1.0843,-0.91587,0.0,165.841,104.123,165.485
4.850_-0.276,001924.06-001635.0,699.0,4.850273,-0.276395,4.850273,-0.276395,0.0,1.769,1.769,-25.251,-25.251,0.0,0.974148,3.23933,-1.00537,19.8845,55.0,-0.089,8,3.02755,4.59996,-1.13076,-0.913109,0.0,134.018,92.4735,133.793
4.863_-0.374,001927.05-002226.0,701.0,4.862732,-0.373893,4.862732,-0.373893,0.0,1.2743,1.2743,-24.879,-24.879,9.479,1.13517,2.31632,-0.979679,19.5101,55.0,0.465,200,2.11811,3.73887,-1.13429,-0.906191,0.0,147.512,108.165,145.407
