SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
001027.42+002932.7,2.614263,0.492441,1.2139,-24.174,0.022,175
001436.17-005256.0,3.650723,-0.882238,1.1493,-24.263,0.079,176
000553.71-010117.7,1.473827,-1.021585,0.632,-22.817,0.136,177
001744.43-000602.5,4.43513,-0.100706,1.6424,-25.223,1.338,178
000614.00+002605.0,1.558346,0.434743,2.518,-25.85,0.288,179
001018.30-011004.3,2.576269,-1.167869,1.7782,-25.833,0.014,180
000645.98-004840.1,1.691602,-0.811157,1.9983,-25.849,0.235,181
001617.97+001020.8,4.074893,0.172469,1.5489,-26.053,-0.098,182
001750.60+004543.0,4.460848,0.761962,1.4039,-24.988,-0.057,183
000338.57+000432.0,0.910728,0.075561,2.0928,-25.834,-0.114,184
000508.85+002608.3,1.286916,0.435657,0.6686,-23.064,-0.044,185
000653.31+000135.7,1.722136,0.026604,1.9425,-25.152,0.079,186
000515.93-003730.7,1.316381,-0.625197,0.4764,-22.099,0.799,187
000333.26-004443.2,0.888592,-0.745361,0.6591,-22.534,0.522,188
000844.70+002550.5,2.186254,0.430718,2.1224,-26.446,-0.037,189
000906.93+003252.6,2.278901,0.547959,2.6255,-25.914,0.137,190
000442.03+003021.0,1.175142,0.505852,1.7682,-25.219,0.072,191
000038.99-001803.9,0.162498,-0.301102,2.1224,-26.673,-0.004,192
000839.31-005336.8,2.163799,-0.893578,2.619,-26.727,-0.024,193
001047.99-001830.1,2.699959,-0.308379,0.8927,-22.666,0.11,194
001806.88-004535.1,4.528672,-0.759751,1.0479,-23.986,0.039,195
001056.54+002804.1,2.735597,0.46781,1.4217,-25.249,0.039,196
000800.06-000021.3,2.000279,-0.005939,0.7586,-24.166,0.224,197
001055.41+003032.2,2.730878,0.508958,1.2331,-24.764,0.158,198
001233.34+010010.3,3.138942,1.002885,1.2141,-24.377,0.141,199
001927.05-002226.0,4.862732,-0.373893,1.2743,-24.879,0.465,200
000429.47-002142.7,1.122796,-0.361882,0.6143,-23.216,0.39,201
000922.19+000555.6,2.342483,0.098788,1.9968,-24.963,0.084,202
000557.24+002837.7,1.488523,0.477166,0.2595,-22.211,-0.241,203
001711.90-001600.6,4.299621,-0.266859,0.6207,-22.792,0.612,204
000754.99-010206.6,1.979156,-1.035193,1.584,-25.357,0.266,205
