SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
210027.71+004208.9,315.11548,0.702481,1.0647,-24.27,-0.135,6340
211718.17+010248.9,319.32573,1.046942,2.9379,-27.097,0.188,6341
210031.66+010157.6,315.131945,1.032674,0.909,-23.483,0.272,6342
211413.53+001645.6,318.556379,0.279351,0.8871,-24.581,-0.031,6343
210236.23+011342.1,315.650974,1.228368,1.7102,-25.638,0.504,6344
210214.03+002509.0,315.558465,0.419193,0.4112,-22.205,-0.12,6345
210422.60-000443.2,316.094188,-0.078672,1.4418,-26.198,0.044,6346
210523.80-000524.6,316.349174,-0.090189,1.9296,-26.354,0.111,6347
211838.12+005640.6,319.658849,0.944629,0.3841,-22.952,0.587,6348
210149.13-010848.8,315.45474,-1.146891,0.6027,-22.522,0.078,6349
210218.76+000537.2,315.578196,0.093685,1.6296,-24.788,-0.034,6350
211832.87+004219.0,319.636995,0.705286,2.1683,-27.693,-0.004,6351
211801.82+000432.4,319.507603,0.075689,1.8865,-26.305,0.011,6352
211348.39+003722.1,318.451651,0.622817,0.386,-23.739,-0.185,6353
211259.29+011334.3,318.247067,1.226216,1.0274,-25.529,0.053,6354
210705.90+004430.9,316.774613,0.74194,0.9263,-25.131,-0.032,6355
210549.78+005106.9,316.457426,0.85193,2.746,-27.059,-0.163,6356
210200.71+002623.4,315.502982,0.439845,1.5393,-26.016,0.614,6357
211230.57+001427.3,318.127403,0.240917,0.9816,-25.678,-0.051,6358
210036.73-005710.6,315.15307,-0.95297,1.4094,-25.466,-0.048,6359
211922.87-001533.7,319.845293,-0.25938,1.5238,-26.785,-0.022,6360
211423.40-011111.0,318.597512,-1.186403,1.2776,-25.397,-0.086,6361
210939.74+003255.9,317.415609,0.548886,0.9911,-25.481,0.0,6362
211838.67+004035.5,319.661127,0.676551,0.2814,-22.304,-0.012,6363
210149.78+011003.2,315.457453,1.167577,0.4514,-23.439,-0.01,6364
211109.05-001259.2,317.787745,-0.216458,0.5492,-23.835,-0.194,6365
210801.28-001737.4,317.005346,-0.293727,0.9268,-24.01,0.418,6366
210952.72-004745.4,317.469667,-0.795948,0.9378,-25.746,-0.008,6367
210054.58-004842.9,315.227449,-0.811924,3.5132,-26.734,-0.184,6368
211443.94-005532.7,318.683124,-0.925769,3.4034,-28.169,0.195,6369
211417.99-011146.3,318.574979,-1.196214,2.9485,-27.052,0.195,6370
211456.10+002620.6,318.733777,0.439065,1.8223,-26.646,0.095,6371
210219.94+004026.9,315.5831,0.67415,1.2345,-24.838,0.131,6372
210217.52+001005.2,315.573005,0.168128,1.2198,-24.258,0.034,6373
210101.99+010618.8,315.258333,1.105237,0.5928,-23.943,-0.075,6374
210926.85+010123.2,317.361912,1.023139,0.4112,-22.578,-0.071,6375
211157.77+002457.5,317.990729,0.415985,2.3252,-28.113,0.018,6376
210225.32-004841.8,315.605534,-0.811635,0.9368,-25.234,-0.067,6377
210039.29-001953.7,315.163719,-0.331594,1.5317,-25.936,-0.223,6378
210345.00-001905.8,315.937539,-0.318295,1.7927,-26.147,0.111,6379
210142.45-000100.0,315.426884,-0.01669,1.244,-25.609,-0.087,6380
210416.26+000516.4,316.06778,0.087915,1.3819,-24.714,-2.416,6381
211857.08-002808.0,319.737862,-0.46891,1.8621,-26.143,0.445,6382
210127.95+004639.8,315.366482,0.777735,1.3059,-25.154,-0.024,6383
210445.65-004501.5,316.190218,-0.750425,0.9181,-24.784,-0.106,6384
211040.68+011339.5,317.669516,1.227666,1.5629,-26.198,0.339,6385
210142.55+003724.5,315.427294,0.623481,2.016,-26.076,-0.142,6386
211334.67+003555.1,318.394472,0.598653,1.5547,-24.925,0.126,6387
210524.49+000407.3,316.35206,0.068697,2.2833,-29.481,0.873,6388
211631.79-011047.5,319.132461,-1.179863,1.3625,-25.526,0.009,6389
211940.73-002815.9,319.919718,-0.471094,0.8786,-24.534,-0.078,6390
210226.97-004901.0,315.612407,-0.816962,1.3022,-25.796,-0.088,6391
211340.04+010308.9,318.416846,1.052499,1.4452,-25.695,0.064,6392
211950.93-002805.3,319.962228,-0.468141,1.3271,-25.367,0.025,6393
210829.58+003551.7,317.123283,0.597718,0.7069,-24.199,0.389,6394
210519.37-001640.1,316.330721,-0.277832,1.3626,-25.414,0.023,6395
210012.82-004446.2,315.05345,-0.746174,2.1946,-27.197,0.022,6396
210327.02+005733.2,315.862623,0.959245,2.0842,-25.577,0.057,6397
211653.74-004724.2,319.223937,-0.790062,2.0056,-25.142,0.066,6398
211014.16-000418.6,317.559001,-0.071835,1.9153,-26.319,-0.09,6399
210842.21+003524.1,317.175884,0.590054,2.673,-28.23,-0.064,6400
031600.11+005407.2,49.000475,0.902007,0.9371,-23.365,0.017,6401
031105.80+000933.3,47.77417,0.159263,2.3757,-26.34,0.82,6402
030048.52-010459.3,45.202167,-1.083142,1.9682,-25.926,0.049,6403
030356.83-003531.1,45.986796,-0.591976,1.3889,-24.464,-2.527,6404
030347.12+002143.1,45.946347,0.361994,0.5624,-22.455,0.198,6405
031836.51+002925.0,49.652152,0.490297,1.0633,-23.693,0.023,6406
031652.81-000658.1,49.220063,-0.116164,0.9676,-23.361,0.27,6407
031228.55+005344.8,48.118973,0.895782,1.5511,-24.845,0.96,6408
030908.77+003511.2,47.286563,0.586454,1.0526,-24.673,0.138,6409
030001.46-005928.9,45.006109,-0.991387,0.8759,-23.578,0.082,6410
031632.95+004517.5,49.137315,0.754874,1.3982,-24.458,0.042,6411
031855.44+005557.6,49.731034,0.932691,1.5031,-24.236,-0.031,6412
030557.29+005357.8,46.488717,0.89941,2.8171,-26.126,0.034,6413
031439.08-000249.2,48.662862,-0.047026,1.1527,-25.282,-0.083,6414
030723.94+002427.3,46.849756,0.40761,1.1935,-25.859,0.115,6415
031504.50+001237.4,48.768772,0.2104,1.784,-27.219,0.04,6416
031854.73-010420.8,49.728081,-1.072471,1.0946,-25.397,-0.035,6417
030437.21+004653.6,46.155053,0.781583,4.3046,-27.082,-0.179,6418
030810.22+001305.2,47.04259,0.218137,1.6337,-24.841,0.025,6419
030407.32+011316.1,46.030538,1.221145,1.2507,-25.056,0.002,6420
031645.55-000553.3,49.189794,-0.098156,1.3884,-25.553,0.358,6421
030214.50-003419.3,45.560428,-0.572045,0.8372,-22.502,0.172,6422
030011.30-010643.5,45.047104,-1.112088,1.273,-25.151,-0.056,6423
031203.99+010724.9,48.016643,1.123609,0.9585,-22.774,-0.093,6424
031412.84-010352.9,48.553517,-1.064719,1.3243,-24.623,0.034,6425
031918.11+000101.6,49.825484,0.017116,1.1918,-24.803,-0.008,6426
031917.93+004230.8,49.824713,0.70857,1.4345,-24.685,0.117,6427
030452.65-011346.9,46.219396,-1.229701,1.666,-25.042,0.139,6428
031550.72+005434.7,48.961335,0.909651,1.5777,-25.223,-0.055,6429
030757.55+000712.0,46.989795,0.120003,1.3438,-25.584,-0.076,6430
031335.70+010416.0,48.398755,1.071133,0.9791,-23.431,0.113,6431
030307.36+001020.4,45.780681,0.172357,1.0468,-24.894,-0.119,6432
030140.97+011551.1,45.420711,1.264205,1.7715,-26.671,0.501,6433
031718.55+010437.3,49.327331,1.077041,1.879,-25.457,0.383,6434
030011.92+003527.4,45.049681,0.59097,0.4203,-22.441,0.14,6435
030349.38+011206.0,45.955762,1.201672,0.6634,-23.349,0.264,6436
030051.44+003352.3,45.214374,0.56453,2.4073,-26.555,0.141,6437
031914.60+005022.9,49.810858,0.839715,1.3126,-24.261,0.17,6438
030449.85-000813.4,46.207745,-0.137078,3.2948,-29.217,-0.373,6439
031700.26-000248.5,49.251121,-0.04683,1.4937,-25.532,-0.087,6440
031551.54+010021.2,48.964757,1.005914,1.9568,-26.036,-0.017,6441
030341.85+011029.0,45.924408,1.174733,1.6365,-25.971,-0.044,6442
030128.16+005804.0,45.367359,0.967779,1.7782,-25.954,-9.0,6443
030158.64+010904.8,45.494348,1.15135,1.0398,-24.899,0.475,6444
030412.66+002128.3,46.052756,0.357868,0.697,-22.834,0.687,6445
030048.93+005440.7,45.203895,0.911332,0.6618,-24.445,0.066,6446
030350.49+002740.0,45.960377,0.461132,2.1024,-26.55,-0.096,6447
030554.65-001559.9,46.477732,-0.266661,1.4185,-24.828,0.036,6448
030315.67-000702.1,45.815304,-0.117256,0.7024,-24.674,-0.03,6449
031640.43-000955.3,49.168477,-0.165377,0.637,-23.034,0.113,6450
031443.06+001740.4,48.679434,0.294568,1.1587,-24.041,-0.046,6451
031511.12+005414.8,48.796337,0.904115,0.855,-23.397,0.266,6452
031911.86+010014.4,49.799421,1.00402,0.9487,-24.802,-0.25,6453
031841.18+005120.8,49.671609,0.855784,1.4366,-26.134,-0.008,6454
031348.34-010433.0,48.451428,-1.07585,2.4677,-26.928,0.052,6455
030907.49+002419.0,47.281229,0.405305,2.0805,-26.735,0.337,6456
031324.98-005748.2,48.354118,-0.963405,2.4688,-26.398,0.103,6457
031423.49+010222.1,48.597904,1.03949,3.0128,-26.651,-0.354,6458
031149.44-002541.8,47.956002,-0.428295,1.3738,-23.949,0.118,6459
031226.12-003709.0,48.108842,-0.619169,0.6214,-23.527,-0.01,6460
031236.97-011343.1,48.154051,-1.228642,2.3107,-27.256,0.003,6461
031910.24+000727.1,49.792705,0.124197,0.8771,-23.249,0.45,6462
031427.45-011152.3,48.614411,-1.197867,0.387,-23.459,-0.341,6463
031753.08-005207.1,49.471179,-0.86864,1.3756,-24.818,0.169,6464
030707.45-001601.4,46.781061,-0.267071,3.7093,-26.9,0.035,6465
031854.97-010309.0,49.729066,-1.052503,2.1336,-25.748,-0.196,6466
031257.10-001927.8,48.237957,-0.3244,1.4021,-25.104,0.364,6467
031917.37+011249.6,49.822394,1.213799,1.0123,-23.708,0.144,6468
031036.97-001457.0,47.654042,-0.24917,4.7237,-27.598,-0.791,6469
030945.02-010934.4,47.437593,-1.159578,2.111,-25.685,0.013,6470
030349.02-005619.1,45.954285,-0.938648,1.4704,-25.23,-0.019,6471
031003.01-004645.7,47.512559,-0.779365,2.1151,-27.936,-0.052,6472
031949.58+005520.5,49.956622,0.92238,2.0385,-26.625,0.013,6473
031012.74-001149.5,47.553116,-0.197099,1.4254,-24.792,-0.131,6474
030115.77-010753.8,45.315737,-1.131635,1.4048,-24.871,-0.111,6475
031837.46+005519.7,49.656101,0.922159,0.711,-23.868,0.266,6476
030422.32+003423.7,46.093018,0.573259,1.9534,-25.603,-0.086,6477
031510.54+000754.6,48.793954,0.131838,0.9656,-24.74,-0.055,6478
030116.13-005414.5,45.317219,-0.904052,1.899,-25.526,-0.01,6479
030033.92+004324.7,45.141347,0.723541,0.8087,-23.953,0.211,6480
030434.15-004705.5,46.142327,-0.784885,0.4549,-22.287,-0.156,6481
030035.96-001533.0,45.149868,-0.259175,1.4455,-26.427,-0.134,6482
030137.75+011247.7,45.407302,1.21327,1.1797,-24.847,-0.059,6483
030340.01+010557.1,45.916729,1.099221,3.4698,-27.325,0.199,6484
030551.15-000557.3,46.463129,-0.099252,0.8389,-24.611,0.169,6485
030504.07+011324.5,46.26697,1.223496,0.6135,-23.214,0.371,6486
031651.78+004044.6,49.215759,0.679082,1.7607,-25.301,-0.062,6487
031127.55+005357.4,47.864809,0.899285,1.764,-26.438,-0.166,6488
030346.08-003729.6,45.942019,-0.624891,1.0478,-24.281,0.059,6489
030335.76+004144.9,45.899002,0.695826,0.6692,-24.12,0.509,6490
031830.59+011023.9,49.627468,1.173315,0.5063,-23.464,0.11,6491
031817.43+010735.9,49.572636,1.126657,1.5784,-24.972,0.078,6492
030719.91+004538.8,46.83298,0.760787,1.9085,-26.528,0.229,6493
031548.20+002834.6,48.950842,0.476292,1.5362,-25.168,0.054,6494
031227.13-003446.2,48.113053,-0.579518,1.7771,-26.112,0.259,6495
031427.46-003424.0,48.614427,-0.573353,2.1788,-25.488,0.584,6496
030000.57+004828.0,45.002387,0.807781,0.9,-27.12,2.669,6497
031121.76+011137.7,47.840707,1.193807,1.0505,-23.546,0.24,6498
030313.02-001457.4,45.804273,-0.249295,0.7,-24.831,-0.027,6499
030232.00-002734.1,45.633335,-0.459489,2.4026,-26.793,-0.012,6500
031732.20+000209.6,49.384178,0.036025,2.3244,-26.982,1.953,6501
030601.49+004658.5,46.506249,0.782942,0.9441,-24.454,1.656,6502
030911.64+002358.8,47.298531,0.399681,0.6106,-25.799,-0.199,6503
031632.74-002542.3,49.136428,-0.428433,1.8831,-25.119,-0.182,6504
031327.73+001908.9,48.365542,0.319143,1.0376,-23.885,-0.034,6505
031935.52+002416.0,49.898022,0.404472,0.7016,-23.623,-0.313,6506
030031.54+003832.2,45.131423,0.64229,2.6255,-27.683,0.311,6507
031550.79+004604.8,48.961631,0.768017,1.0252,-24.736,0.416,6508
031808.04-002519.8,49.533516,-0.422179,1.6536,-25.238,0.129,6509
030641.67+000108.1,46.67363,0.018933,1.3974,-25.142,-0.049,6510
031307.92-003222.0,48.283001,-0.539447,1.4104,-25.638,0.042,6511
030842.32+003848.6,47.176354,0.646851,0.7411,-23.81,0.381,6512
031607.85+004728.9,49.032725,0.791384,1.641,-26.58,0.082,6513
030919.71+011533.8,47.332164,1.259412,1.6028,-25.573,0.12,6514
030614.41+003306.6,46.560075,0.551852,3.276,-26.399,0.073,6515
031742.07+010356.7,49.425313,1.065757,1.3589,-24.301,0.565,6516
030707.09-004901.5,46.779582,-0.817092,3.2013,-26.127,0.174,6517
030929.93-011501.7,47.374714,-1.250494,2.4088,-26.121,0.532,6518
030422.39+002231.8,46.093303,0.375513,0.6382,-26.445,0.032,6519
030045.25+001656.6,45.188568,0.282415,1.7419,-26.447,0.101,6520
030044.43-003820.5,45.185133,-0.639051,0.5982,-22.74,0.17,6521
031630.78-010303.5,49.128266,-1.050994,0.3681,-22.789,0.235,6522
030445.87-010214.1,46.191156,-1.037262,1.7745,-25.313,-0.213,6523
030341.04-002321.9,45.921035,-0.389423,3.2306,-29.146,-0.169,6524
031012.95-000259.2,47.55396,-0.049795,0.7837,-23.053,0.018,6525
030342.78+002700.5,45.928278,0.450151,1.6464,-27.502,0.005,6526
030745.95+000833.4,46.941475,0.142611,0.4269,-22.572,0.254,6527
030858.37+001608.4,47.243249,0.269027,1.7269,-24.274,0.175,6528
031838.42-004058.9,49.660088,-0.683042,1.1678,-24.439,-0.115,6529
030950.75+011331.8,47.461465,1.22551,0.895,-23.899,-0.577,6530
030905.37+005808.9,47.272405,0.969147,1.5185,-25.716,0.005,6531
031200.44+005105.8,48.001858,0.851618,1.1117,-23.908,-0.06,6532
031526.71-005611.8,48.861319,-0.936625,1.3009,-24.595,0.165,6533
030452.79-002738.1,46.21999,-0.460593,1.6995,-25.515,-0.155,6534
031028.87-005326.1,47.6203,-0.890608,2.4595,-27.589,0.15,6535
030940.40+002243.3,47.418365,0.378698,1.628,-27.146,0.135,6536
031645.77-004229.4,49.190738,-0.708187,1.2714,-25.094,-0.006,6537
031404.44-003947.3,48.518506,-0.663148,2.1051,-27.171,0.115,6538
030839.70-001603.6,47.165426,-0.267667,1.7767,-24.974,0.187,6539
031532.27+005503.5,48.884494,0.917661,0.4874,-22.668,-0.163,6540
031714.72-003645.7,49.311356,-0.612717,1.0062,-23.502,-0.139,6541
031910.66-000233.7,49.794456,-0.042699,0.8671,-24.109,-0.138,6542
030341.13-005706.8,45.921399,-0.951908,1.8004,-26.221,0.32,6543
030358.94-004357.7,45.9956,-0.732696,2.186,-25.786,0.234,6544
030132.55+004821.6,45.385626,0.806007,1.5364,-24.687,0.349,6545
030501.15+003702.9,46.25481,0.617488,1.1558,-24.605,-0.093,6546
031951.94-001033.7,49.966458,-0.176036,2.1877,-25.217,0.028,6547
030437.21+004729.1,46.15508,0.791438,2.4336,-27.065,0.43,6548
031444.54-005701.1,48.685622,-0.950321,1.5064,-26.473,-0.158,6549
031611.17+000407.4,49.046549,0.068738,1.5492,-25.342,-0.044,6550
031431.03+000746.9,48.629319,0.129716,1.6612,-24.896,0.139,6551
031212.11+010630.4,48.05046,1.108471,1.6215,-25.671,0.034,6552
031008.02+002759.6,47.533419,0.466582,1.258,-24.869,0.186,6553
031843.46+004917.5,49.681111,0.821537,1.0622,-23.712,0.25,6554
031327.12-010037.7,48.363033,-1.010489,0.8948,-23.112,-0.621,6555
031625.15+002511.5,49.104819,0.419873,1.0606,-23.932,-0.099,6556
031434.73-003803.6,48.644742,-0.634354,2.1594,-25.265,0.241,6557
031521.53+010804.6,48.839711,1.134626,1.3274,-24.313,0.218,6558
031042.66-002009.0,47.677774,-0.33586,1.6899,-26.022,-0.109,6559
031556.30+002347.2,48.984611,0.396465,2.2049,-25.467,0.53,6560
031649.95-002055.4,49.208142,-0.348723,0.9571,-23.968,0.07,6561
031037.63+004008.9,47.656798,0.66916,1.2728,-25.422,0.134,6562
031759.16-004606.4,49.496515,-0.768456,0.6465,-22.986,0.166,6563
030054.61-003051.8,45.227545,-0.514395,2.3101,-26.315,0.521,6564
030725.90+003709.4,46.857934,0.619279,2.1138,-26.669,0.116,6565
031542.30-001919.2,48.926265,-0.32202,1.2501,-24.226,-0.07,6566
030712.56-001645.7,46.802367,-0.279373,1.8887,-25.408,0.012,6567
031233.46-002505.4,48.139437,-0.41819,1.4915,-25.243,0.373,6568
030211.07+005800.3,45.546147,0.966776,2.1285,-25.661,0.167,6569
031351.96+003401.2,48.466509,0.567012,0.7537,-22.707,-0.133,6570
031930.82-003512.0,49.878455,-0.586679,2.6244,-26.556,0.153,6571
031044.92+001341.5,47.687168,0.228206,0.9545,-23.067,-0.225,6572
031922.28+002722.8,49.842836,0.456348,2.2899,-25.592,0.072,6573
030027.11-004848.8,45.11299,-0.813558,2.0167,-27.058,0.004,6574
031555.47-001051.5,48.981136,-0.180974,1.8444,-25.017,0.026,6575
031705.02-003158.0,49.270934,-0.532791,1.2695,-25.546,0.103,6576
030827.01+003814.7,47.112555,0.637419,0.6922,-22.638,0.374,6577
030515.60-001614.3,46.315018,-0.270642,2.2901,-25.994,0.09,6578
030933.64-004358.3,47.390184,-0.732877,0.7901,-23.622,0.152,6579
030037.55-002121.6,45.156465,-0.356023,1.5685,-24.765,-0.085,6580
031223.61-004910.7,48.098381,-0.819639,2.1738,-25.766,-0.004,6581
030052.37-010940.4,45.21823,-1.161231,1.0606,-24.171,0.051,6582
030339.67-001746.1,45.915302,-0.296142,1.4206,-26.24,0.132,6583
030814.08-000257.7,47.058704,-0.049378,1.5588,-24.707,0.458,6584
030526.92-003818.0,46.36217,-0.638336,1.2906,-24.285,0.169,6585
031702.75+000301.8,49.261486,0.050509,2.014,-26.01,0.109,6586
030201.51-005833.5,45.5063,-0.975973,2.4647,-26.018,0.052,6587
031954.06+003327.0,49.97526,0.557502,1.2555,-24.257,0.024,6588
030712.64-010246.6,46.80267,-1.046293,1.5942,-24.813,-0.141,6589
031723.04-003435.6,49.346041,-0.576581,0.945,-23.796,0.39,6590
030242.41-005706.9,45.676724,-0.951944,0.9487,-24.245,0.252,6591
030559.22-003617.1,46.496778,-0.604765,1.3777,-25.143,-0.133,6592
031501.70-001727.8,48.757122,-0.291064,0.9441,-23.836,-9.0,6593
031820.77-003615.0,49.586554,-0.604167,1.3109,-24.018,0.172,6594
031036.84+005521.7,47.653539,0.922704,3.7819,-27.536,0.358,6595
031027.82-004950.7,47.615933,-0.830766,0.0802,-22.441,-9.0,6596
030100.94-005116.8,45.25393,-0.854673,1.9757,-25.754,-0.034,6597
031110.21-001015.0,47.792545,-0.170849,1.4107,-25.119,-0.035,6598
030437.56-011452.9,46.156526,-1.248045,2.4167,-26.143,0.114,6599
031030.89+000517.7,47.628747,0.088254,1.2303,-25.109,-0.058,6600
030437.59+011121.5,46.15664,1.189316,0.6654,-23.142,0.172,6601
031600.56+004633.9,49.002356,0.776109,1.235,-25.563,-0.06,6602
031716.13+000139.5,49.317224,0.027647,1.4997,-25.713,0.047,6603
031158.00-002501.0,47.991704,-0.416963,1.9127,-25.489,0.104,6604
030508.84+010440.6,46.28685,1.077948,0.6094,-22.837,0.149,6605
031324.47-011133.6,48.351979,-1.192676,1.43,-24.711,0.385,6606
030019.08+002622.7,45.079518,0.439639,1.5351,-25.46,-0.059,6607
030815.83+010721.4,47.065998,1.122619,1.2168,-25.479,-0.058,6608
031828.90-001523.1,49.620445,-0.256431,1.982,-27.439,-0.001,6609
030114.50-010446.7,45.310424,-1.079662,0.9318,-23.425,0.099,6610
031104.63+004031.4,47.7693,0.675415,0.8299,-23.602,0.151,6611
030800.06+001558.6,47.000263,0.266288,2.0102,-25.644,0.049,6612
031547.38+005950.4,48.947445,0.99735,1.3368,-25.623,0.106,6613
031906.71-010928.6,49.777966,-1.157948,3.1389,-27.192,0.194,6614
031939.23-002111.5,49.913498,-0.353212,2.7193,-26.24,1.102,6615
031544.54+004220.8,48.935609,0.705801,1.8797,-26.611,-0.056,6616
031452.06+001346.3,48.716949,0.229544,3.2023,-27.465,0.41,6617
031956.08-010150.6,49.983702,-1.030744,0.8267,-22.433,-0.201,6618
031401.11+011131.6,48.504664,1.19212,1.3049,-24.844,-0.006,6619
030129.20-000003.6,45.3717,-0.001023,1.7327,-25.377,0.017,6620
031208.45-010239.2,48.035228,-1.044245,2.2682,-26.101,0.009,6621
030733.08-005141.0,46.887867,-0.861408,1.4509,-25.507,0.105,6622
030939.45-000339.2,47.4144,-0.060891,0.7684,-26.089,-0.078,6623
030634.28+005023.8,46.642838,0.839961,1.0321,-23.965,-0.062,6624
030149.77+005756.4,45.457377,0.965675,2.408,-26.591,0.205,6625
031437.33-003558.5,48.655555,-0.5996,2.3677,-25.495,0.144,6626
030321.45+004203.4,45.839393,0.70095,1.6818,-25.114,-0.061,6627
031809.03+005032.0,49.537649,0.842241,1.1377,-24.144,-0.025,6628
031542.46-010051.9,48.926938,-1.014437,1.233,-25.177,-0.054,6629
031700.61+002214.7,49.25257,0.370754,1.7786,-25.969,0.124,6630
030608.24+002356.2,46.534356,0.398963,1.1715,-24.778,-0.307,6631
031045.07+010630.5,47.687825,1.108488,2.0457,-24.42,-0.081,6632
031829.60+005959.3,49.62335,0.999812,1.0605,-25.174,0.046,6633
030449.02-004628.3,46.204284,-0.774545,1.9266,-25.166,0.076,6634
031156.45-004157.0,47.985222,-0.699177,0.9546,-24.717,0.383,6635
030116.90-001807.2,45.320424,-0.302008,2.1794,-25.997,0.014,6636
031607.89+011304.9,49.032893,1.218053,0.5453,-23.746,0.467,6637
031425.59+010118.6,48.60663,1.021856,1.0375,-24.298,0.099,6638
030227.71+003752.0,45.615474,0.63112,1.0451,-24.846,0.02,6639
030116.96-011323.5,45.320704,-1.223202,1.5313,-25.174,-0.084,6640
030238.16+000203.4,45.659032,0.0343,1.3489,-26.698,0.171,6641
031039.34-004843.4,47.663941,-0.812067,0.4573,-22.089,0.488,6642
030148.38+000753.1,45.451621,0.131441,2.2217,-25.505,-0.003,6643
031129.29+005638.6,47.872059,0.944079,1.5068,-25.635,0.203,6644
030555.41+002153.1,46.480889,0.36477,0.4021,-22.357,0.188,6645
031937.30-002641.1,49.905426,-0.444761,1.3699,-25.283,0.072,6646
031735.94-001926.3,49.399755,-0.323986,1.224,-25.676,-0.053,6647
031034.45-001944.6,47.643557,-0.329068,2.1667,-25.745,0.038,6648
031609.83+004043.1,49.040993,0.678652,2.9199,-27.955,0.226,6649
031646.19+003448.7,49.192468,0.580203,1.4211,-25.861,-0.061,6650
030154.04+004132.7,45.475201,0.692437,2.3199,-26.501,0.067,6651
030602.06+011346.0,46.508622,1.229456,1.517,-26.368,-0.076,6652
030011.45-003736.1,45.047743,-0.626699,1.2874,-24.456,-0.331,6653
031047.52+002840.2,47.698019,0.47784,2.5087,-26.281,0.464,6654
031005.19-011230.8,47.521633,-1.208566,0.7732,-23.845,-0.029,6655
031049.68+003459.4,47.707008,0.58318,1.3739,-25.506,-0.02,6656
030629.66+010652.2,46.623607,1.114501,1.976,-25.367,-0.031,6657
031131.41-002127.4,47.880877,-0.357622,1.5717,-26.703,0.231,6658
030458.97+000235.8,46.245709,0.043281,0.5636,-24.439,-0.142,6659
031453.67+004456.3,48.723648,0.748992,1.3563,-24.299,1.075,6660
030437.27-005002.9,46.155319,-0.834154,1.1474,-24.052,0.092,6661
031910.21+001702.2,49.792549,0.283946,2.4495,-25.588,0.031,6662
031732.68-005513.4,49.386176,-0.920409,1.5591,-24.116,0.002,6663
030206.90-011425.6,45.528755,-1.240461,1.0491,-23.685,0.465,6664
031118.77+001557.4,47.828215,0.265965,2.2919,-25.974,0.061,6665
030041.77+003237.5,45.174062,0.543776,1.1103,-25.304,-0.113,6666
030254.38-010306.8,45.726586,-1.051914,1.8358,-25.089,0.231,6667
030704.78-003431.0,46.769946,-0.5753,2.1206,-25.605,0.148,6668
030639.63+000723.9,46.665149,0.123322,2.1718,-26.499,-0.052,6669
031908.22+002848.4,49.784281,0.480116,1.8182,-25.727,-0.1,6670
031449.85+011107.8,48.707711,1.185512,1.7306,-25.327,-0.033,6671
031838.28+004742.6,49.65953,0.795171,1.2293,-24.393,0.4,6672
031118.51+002437.0,47.827166,0.410301,0.8622,-25.426,0.193,6673
031441.46-000319.8,48.672779,-0.055505,2.1232,-27.287,-0.034,6674
031127.09-004927.7,47.862885,-0.824365,2.2471,-26.056,0.091,6675
030510.64+004021.1,46.294342,0.67255,1.8647,-25.237,0.404,6676
031329.69+004040.4,48.373727,0.677894,0.9988,-23.976,0.391,6677
031427.92+002339.4,48.616343,0.394278,3.6839,-26.617,0.15,6678
031211.69-010150.5,48.048724,-1.030695,2.2437,-26.351,0.305,6679
030355.22+005143.1,45.980099,0.861993,1.6012,-24.571,0.041,6680
030228.40-000941.8,45.618374,-0.161621,2.2588,-26.386,0.024,6681
030435.38+004531.7,46.147451,0.758821,1.2261,-24.272,0.074,6682
030408.32-001128.9,46.034705,-0.191368,0.4782,-23.207,0.271,6683
030906.94-004207.6,47.278938,-0.702132,2.0534,-25.707,0.442,6684
031150.54+001943.9,47.960605,0.328888,0.8398,-23.918,-0.08,6685
031701.47-004949.7,49.256159,-0.830481,2.0125,-26.142,0.142,6686
031345.12+004737.6,48.438012,0.793789,1.2964,-24.38,-0.051,6687
030241.99-004044.2,45.674975,-0.67896,0.742,-24.109,-0.134,6688
031744.76-005401.2,49.436539,-0.900334,1.5053,-24.678,-0.103,6689
030212.51+003732.9,45.552159,0.625807,1.934,-25.595,0.075,6690
030335.44-002001.1,45.897708,-0.333649,2.7103,-26.628,0.384,6691
030825.85+003939.2,47.10774,0.660915,1.208,-25.3,-0.014,6692
031411.46-001852.8,48.547752,-0.314668,0.885,-23.816,-0.038,6693
030949.23-004913.9,47.455137,-0.820544,3.122,-26.424,1.232,6694
030104.01+000350.4,45.266728,0.064004,1.4093,-24.419,-0.358,6695
030847.00-010150.9,47.195853,-1.030807,1.7221,-24.837,-0.17,6696
030951.88-000348.5,47.46618,-0.063479,1.8644,-25.272,0.611,6697
030026.42-003813.9,45.110103,-0.637214,1.4428,-25.273,-0.166,6698
030435.32-000251.0,46.147206,-0.0475,3.0607,-26.278,0.058,6699
030002.70-001219.2,45.011279,-0.205341,1.6797,-25.854,0.121,6700
030452.64-005420.2,46.219371,-0.905639,1.2351,-24.502,0.078,6701
031608.41+004807.1,49.035071,0.801984,0.9388,-23.942,-0.14,6702
030816.19+002442.3,47.067486,0.411758,0.6062,-22.605,0.183,6703
031219.69-004808.0,48.082069,-0.802231,2.1427,-25.665,0.01,6704
030643.37-004549.0,46.680724,-0.763636,0.5539,-23.398,0.98,6705
031817.75-004156.2,49.573999,-0.698964,1.1005,-24.003,0.195,6706
031005.70-005355.4,47.523768,-0.898742,2.3531,-25.237,0.441,6707
031112.82-001648.8,47.803447,-0.280239,2.7635,-26.739,-0.01,6708
030311.30+002051.3,45.797098,0.3476,1.7582,-24.997,-0.021,6709
