SDR5ID,ra_deg,dec_deg,z,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf,mu,npts
71.0,0.422646,0.398993,0.9347,-24.685,8.688,1.03389,3.01696,-0.865635,2.88017,4.56355,-0.969919,-0.816737,0.0,170.699,105.108,170.389,19.1665,63.0
629.0,4.41154,-0.521366,0.8539,-24.661,8.808,1.30683,4.58792,-0.816721,3.36007,4.69875,-0.893208,-0.744831,0.0,163.482,87.1827,163.482,18.5705,61.0
86.0,0.562912,-0.399687,1.4496,-24.416,0.0,1.10941,3.07329,-0.7464,2.89736,4.57648,-0.91002,-0.653572,0.0,103.492,63.9474,103.235,20.3671,54.0
545.0,3.779201,-0.133606,1.7033,-27.176,9.185,1.00458,3.02087,-1.18463,2.86293,4.55475,-1.28747,-1.13159,0.0,203.954,147.404,203.622,17.8989,60.0
616.0,4.30583,-0.413493,3.1895,-26.261,9.03,1.33202,2.31713,-0.833148,2.07396,3.9741,-1.01874,-0.750758,0.0,135.852,111.399,134.242,20.1756,61.0
347.0,2.512352,-1.01868,0.5542,-23.65,0.0,1.20628,2.9788,-0.95467,2.83,4.53917,-1.06412,-0.903543,0.0,186.747,114.96,186.361,18.4626,63.0
151.0,1.141382,-0.812432,1.2946,-25.364,8.905,1.12416,3.4524,-1.03644,3.16619,4.63645,-1.13077,-0.972314,0.0,155.06,78.3601,154.921,18.9904,54.0
298.0,2.144652,0.532275,0.263,-23.1,0.0,1.08368,1.86759,-0.462093,1.65622,2.26028,-0.550352,-0.42677,0.0,129.008,90.5164,124.556,17.2816,53.0
703.0,4.86615,0.566652,1.6234,-26.08,9.102,1.18463,2.89358,-0.921591,2.74183,4.50533,-1.04366,-0.857674,0.0,148.2,116.336,147.712,18.9103,54.0
170.0,1.234054,0.112646,1.0412,-24.194,8.505,1.37719,3.71345,-0.86444,3.1824,4.66039,-0.993124,-0.75883,0.0,112.827,74.5061,112.803,19.7344,51.0
219.0,1.594195,-0.073453,1.0381,-24.328,8.652,1.21229,2.51107,-0.523459,2.34515,4.33122,-0.676696,-0.48162,0.0,125.596,90.9229,124.654,19.5049,58.0
47.0,0.268872,0.464949,0.5517,-22.25,0.0,0.940224,2.53524,-0.457312,2.34632,4.25989,-0.593169,-0.403722,0.0,79.8897,52.4025,78.755,20.395,45.0
10.0,0.057505,-0.913004,1.8361,-25.648,0.0,1.51789,2.60224,-0.876303,2.41497,4.38684,-1.07774,-0.800802,0.0,150.528,117.882,149.759,19.5486,62.0
319.0,2.300741,0.403718,2.4946,-27.827,0.0,0.947327,3.0713,-1.31859,2.87893,4.5825,-1.43157,-1.25752,0.0,222.15,177.003,221.993,18.1754,65.0
280.0,2.022504,-0.167163,0.7336,-24.462,8.604,1.16878,2.18958,-0.646173,2.00869,3.3187,-0.770764,-0.609742,0.0,158.53,92.6639,155.826,18.5131,60.0
475.0,3.277548,-0.505803,2.1304,-25.573,0.0,1.05283,3.08454,-0.811092,2.94688,4.564,-0.912814,-0.75798,0.0,151.126,72.741,150.756,19.7883,60.0
15.0,0.07453,0.436845,0.5459,-22.667,8.444,1.14456,0.916537,-0.260598,0.371474,2.22538,-0.942381,-0.033203,0.0,81.1002,79.043,77.6745,19.6148,38.0
85.0,0.550304,-0.885872,2.2124,-26.202,9.069,1.32971,2.28389,-0.654031,2.08914,3.76111,-0.816006,-0.595963,0.0,140.771,107.946,138.711,19.6619,63.0
155.0,1.163558,-0.52931,1.8535,-25.738,8.896,1.7052,2.44067,-1.00173,2.22907,4.10627,-1.16634,-0.918725,0.0,159.889,135.942,158.43,19.5188,64.0
53.0,0.301832,-0.008137,1.4186,-24.335,8.632,1.19965,1.95783,-0.436356,1.73136,3.78417,-0.683275,-0.38883,0.0,121.224,109.201,119.245,20.2157,62.0
94.0,0.593639,-0.078754,0.8104,-25.113,9.386,1.2265,1.60458,-1.07932,1.34396,2.55979,-1.43473,-0.988437,0.0,207.269,195.95,204.027,18.1547,62.0
189.0,1.354687,0.295906,1.0285,-24.383,8.557,1.11132,3.26131,-0.94114,3.01055,4.61318,-1.09117,-0.856086,0.0,153.006,98.8465,152.87,19.7192,61.0
368.0,2.600765,-0.923929,1.9318,-25.565,0.0,1.19449,2.32401,-0.779791,2.11448,3.80919,-0.948172,-0.709729,0.0,149.406,112.367,147.392,19.7955,62.0
