dbID,z,iMag,npts,H,C
1304411,2.1652,20.066,68,0.9338480130344834,3.8416413435185452
1304417,1.949,19.788,65,0.9164728168163088,3.587364060066563
1304512,0.8609,19.733,62,0.9396521870139105,3.315239096183762
1304963,0.9429,19.813,68,0.8946662799272463,3.6527081626897644
1305559,0.2172,16.948,33,0.9385784220569683,3.277975838874825
1305589,1.8642,20.124,70,0.9175056114554044,3.8174884783631926
1305938,0.4528,18.932,64,0.9166801632121564,3.6307709457901893
1306333,2.8949,20.076,34,0.9424465189757495,3.2057822951056014
1306557,1.8523,19.594,72,0.9082828658912611,3.7345535123802174
1307128,0.885,18.663,68,0.9223003973184826,3.4007972549180563
1307711,0.7919,19.602,69,0.9107713385929491,3.6114437833329567
1307976,1.6382,18.704,60,0.9004067365122961,3.539179197853002
1308057,2.0694,18.749,62,0.9088027406904903,3.247581155445318
1308348,0.9131,19.643,67,0.9309011548115131,3.949862763670301
1309146,1.9074,19.163,67,0.9266064886692632,3.3127881243686397
1309342,0.8434,20.44,68,0.9038547280800231,3.5267527088039103
1309414,1.3942,18.836,70,0.8932304183216135,3.509626504301645
1309939,1.7893,20.254,64,0.9035210393773807,3.498742911397819
1310034,1.8648,19.279,69,0.9186387789309473,3.424644966953666
1310302,1.0833,18.471,64,0.9216904210679109,3.498742911397819
1310971,1.4042,20.346,107,0.8894078863737429,4.055662761985805
1310991,1.995,17.487,70,0.9257418842569848,3.1401921354277875
1311260,1.4523,19.669,67,0.9307387442503782,3.5039105161591384
1311685,1.3158,18.819,67,0.9157420960437272,3.440203052228972
1311699,0.3977,19.168,37,0.937317677270795,3.6109179126442243
1313082,1.9949,19.471,64,0.9115495467752016,3.8288129973787455
1313156,1.5184,20.112,72,0.9556690300648484,2.951501969461785
1313189,1.1129,19.74,66,0.9354291917969302,3.7384611544235793
1313197,3.3713,17.962,69,0.8942848161138223,2.8642485178157933
1313712,0.5543,18.976,14,0.9487239823369331,2.8420617395856627
1314106,1.636,17.624,61,0.8688493199468237,3.2886990913386493
1314762,0.5231,19.64,13,0.9595364875367949,2.7786951372499984
1315273,2.039,20.356,68,0.9288881111916236,3.6527081626897644
1315377,0.7484,20.155,63,0.9247156318764619,3.7421862044826746
1315542,2.1445,20.406,70,0.9270985214261988,3.7559160835508827
1315883,2.756,19.537,69,0.9269130979061467,3.735976327585817
1315927,1.9238,20.007,61,0.9087321188791764,3.6312719133530917
1315934,3.0998,20.164,69,0.8852470172793211,3.4869112390800963
1316112,2.2657,20.718,56,0.9589915308112131,3.3666577777057616
1316563,1.7939,19.872,70,0.9271004395509459,3.6327712939262637
1316838,1.4962,20.281,60,0.9505659379492233,3.6779705389452766
1318567,0.6818,19.044,69,0.916565968522316,3.6114437833329567
1318696,1.711,18.647,63,0.893490708218488,3.6753614508311983
1318877,1.2774,19.857,70,0.9095572389553851,3.324909319864716
1319336,0.878,17.925,63,0.9257269751765479,3.2744129289223403
1319919,1.4268,19.058,62,0.9275359512064367,3.7888446813528707
1319982,0.8612,19.52,69,0.9217123691048321,3.5491775112065262
1320643,1.5413,19.981,66,0.9201379238141584,3.54509247402236
1320846,2.5135,20.224,69,0.8915299536950334,3.7982425997122475
1321253,1.652,18.3,63,0.9225331303258548,3.5417119435282456
1321895,1.7862,20.386,117,0.9983259238885542,0.4105322357584273
1321910,1.1331,20.387,67,0.9119026297472695,3.5039105161591384
1322792,2.4234,18.65,65,0.8948313414484153,3.391689656790205
1323338,0.4922,20.085,128,0.9091265138630906,3.591266494554677
1324072,1.6283,19.96,62,0.9123923279392816,3.5858708591375383
1325770,1.8006,19.081,68,0.9031619791607135,3.4637749818609835
